nodes,batch,workers,prefetch,samples,included,samples_s,samples_s_node,jitter,rank_imbalance
2,512,16,4,5,3,"95,633.09","47,816.55",408.16,5.20
2,512,16,6,5,3,"95,930.55","47,965.27",195.44,5.07
2,512,16,8,5,3,"95,936.31","47,968.16",167.69,4.97
2,640,16,4,5,3,"96,227.14","48,113.57",240.49,4.59
2,640,16,6,5,3,"96,052.84","48,026.42",326.38,4.15
2,640,16,8,5,3,"96,145.91","48,072.95",404.00,4.07
2,768,16,4,5,3,"92,077.15","46,038.57",138.21,4.85
2,768,16,6,5,3,"92,094.10","46,047.05",203.24,3.99
2,768,16,8,5,3,"92,106.62","46,053.31",58.31,4.07
4,512,16,4,5,3,"186,031.73","46,507.93",998.93,6.20
4,512,16,6,5,3,"186,832.46","46,708.12","1,060.02",5.82
4,512,16,8,5,3,"186,660.60","46,665.15","1,307.63",6.04
4,640,16,4,5,3,"180,630.96","45,157.74",379.74,5.94
4,640,16,6,5,3,"179,793.26","44,948.32","1,393.55",5.40
4,640,16,8,5,3,"178,853.29","44,713.32",587.83,6.03
4,768,16,4,5,3,"164,816.89","41,204.22",745.78,7.84
4,768,16,6,5,3,"164,863.27","41,215.82",245.44,7.42
4,768,16,8,5,3,"164,539.02","41,134.76",337.45,6.93
